head,tail
434,70605
434,70607
434,71447
434,71460
434,71461
470,98249
470,109053
503,9580
503,9807
503,70752
503,76724
503,84887
503,94580
503,102329
503,125713
503,125747
1062,1092
1062,1098
1062,1395
1062,2389
1062,2531
1062,2857
1062,2887
1062,2902
1062,2925
1062,2961
1062,3169
1062,3241
1062,4589
1062,4640
1062,4702
1062,6563
1062,8054
1062,9968
1062,10205
1062,10222
1062,10249
1062,10250
1062,10251
1062,10252
1062,10253
1062,10254
1062,10345
1062,10404
1062,12582
1062,12791
1062,27014
1062,52001
1062,75656
1062,85527
1062,86323
1062,86331
1075,1092
1075,1098
1075,1125
1075,1137
1075,1188
1075,1192
1075,1199
1075,1371
1075,1548
1075,1769
1075,1805
1075,1820
1075,1990
1075,2175
1075,2201
1075,2288
1075,2731
1075,3364
1075,3894
1075,4144
1075,4554
1075,4625
1075,6093
1075,6277
1075,6585
1075,6724
1075,6964
1075,7291
1075,8834
1075,9580
1075,9985
1075,10119
1075,10345
1075,10650
1075,16291
1075,22293
1075,25918
1075,29822
1075,31713
1075,34833
1075,35945
1075,38101
1075,40390
1075,52780
1075,55439
1075,55519
1075,56465
1075,56467
1075,56469
1075,58879
1075,65551
1086,1090
1086,1092
1086,1098
1086,1990
1086,2063
1086,2081
1086,2327
1086,2451
1086,2502
1086,2595
1086,4652
1086,6093
1090,1092
1090,1098
1090,1990
1090,2063
1090,2081
1090,2327
1090,2451
1090,2502
1090,2595
1090,4652
1090,6093
1092,1098
1092,1125
1092,1188
1092,1192
1092,1199
1092,1395
1092,1990
1092,2063
1092,2081
1092,2327
1092,2380
1092,2451
1092,2502
1092,2595
1092,2731
1092,3383
1092,3543
1092,3971
1092,4295
1092,4554
1092,4652
1092,6093
1092,6724
1092,6964
1092,7291
1092,8834
1092,9985
1092,10119
1092,10650
1092,14356
1092,31713
1092,35945
1092,41707
1092,41708
1092,52780
1092,55439
1092,55519
1092,56465
1092,56467
1092,56469
1092,58879
1092,64571
1092,65551
1092,123633
1092,138495
1098,1125
1098,1149
1098,1188
1098,1192
1098,1199
1098,1371
1098,1395
1098,1401
1098,1786
1098,1820
1098,1990
1098,2063
1098,2081
1098,2175
1098,2201
1098,2288
1098,2327
1098,2451
1098,2502
1098,2595
1098,3241
1098,3364
1098,4554
1098,4625
1098,4652
1098,4923
1098,6093
1098,6724
1098,6964
1098,8834
1098,9580
1098,9985
1098,10119
1098,10345
1098,10650
1098,14232
1098,14236
1098,15368
1098,20612
1098,22293
1098,23218
1098,25918
1098,27894
1098,29205
1098,32086
1098,33988
1098,34833
1098,35414
1098,35945
1098,36502
1098,38101
1098,39109
1098,41420
1098,43749
1098,52001
1098,52780
1098,53345
1098,54649
1098,55439
1098,55519
1098,56465
1098,56467
1098,56469
1098,58469
1098,58472
1098,58879
1098,61140
1098,62342
1098,65066
1098,65254
1098,65551
1098,66461
1098,67287
1098,68615
1098,72762
1098,74197
1098,74375
1098,74786
1098,75152
1098,75656
1098,76068
1098,76312
1098,76414
1098,76468
1098,76476
1098,76851
1098,76982
1098,77014
1098,77111
1098,77862
1098,77988
1098,78867
1098,79467
1098,81471
1098,81675
1098,81682
1098,81885
1098,85162
1098,85290
1098,85910
1098,85915
1098,86646
1098,87088
1098,87099
1098,87844
1098,88683
1098,88803
1098,88955
1098,88964
1098,91633
1098,91953
1098,92728
1098,93686
1098,94062
1098,95298
1098,95914
1098,95919
1098,96873
1098,97728
1098,98106
1098,98319
1098,98320
1098,98931
1098,99133
1098,99156
1098,99764
1098,100526
1098,100784
1098,101156
1098,102667
1098,102868
1098,103126
1098,104976
1098,107017
1098,107173
1098,108105
1098,108109
1098,108630
1098,110582
1098,110694
1098,111660
1098,111798
1098,114015
1098,114312
1098,114443
1098,114599
1098,116110
1098,116158
1098,116868
1098,117250
1098,117600
1098,118165
1098,118236
1098,118641
1098,118715
1098,118809
1098,118874
1098,118889
1098,119209
1098,120415
1098,120743
1098,120903
1098,122476
1098,122773
1098,122995
1098,123016
1098,123028
1098,123043
1098,123091
1098,123946
1098,124257
1098,124482
1098,125146
1098,136205
1098,138646
1098,139466
1098,139632
1098,139910
1098,141606
1098,141820
1125,1188
1125,1192
1125,1199
1125,1990
1125,4554
1125,6093
1125,6724
1125,6964
1125,8834
1125,9580
1125,9985
1125,10119
1125,10650
1125,20612
1125,29205
1125,33988
1125,35414
1125,35945
1125,39109
1125,41420
1125,52780
1125,55439
1125,55519
1125,56465
1125,56467
1125,56469
1125,58879
1125,65551
1125,66461
1125,67287
1125,74197
1125,74375
1125,75656
1125,76414
1125,76468
1125,76476
1125,76982
1125,77862
1125,79467
1125,88803
1125,88955
1125,88964
1125,120415
1125,120743
1125,136205
1137,1548
1137,1769
1137,3894
1137,6277
1137,6585
1137,29822
1149,1188
1149,1786
1149,4923
1149,6093
1149,14232
1149,14236
1149,15368
1149,32086
1149,53345
1149,54649
1149,68615
1149,114015
1188,1192
1188,1199
1188,1243
1188,1377
1188,1395
1188,1474
1188,1739
1188,1786
1188,1990
1188,2082
1188,2226
1188,2380
1188,2983
1188,4192
1188,4276
1188,4554
1188,4923
1188,6093
1188,6724
1188,6964
1188,8300
1188,8787
1188,8834
1188,9580
1188,9742
1188,9985
1188,10119
1188,10141
1188,10208
1188,10650
1188,12258
1188,12791
1188,13081
1188,14232
1188,14236
1188,15368
1188,16291
1188,16871
1188,18338
1188,18340
1188,24730
1188,25658
1188,25662
1188,27626
1188,28453
1188,30544
1188,30545
1188,31111
1188,32086
1188,35945
1188,37691
1188,41197
1188,43749
1188,46409
1188,46410
1188,46411
1188,46419
1188,46613
1188,46621
1188,46705
1188,46780
1188,46795
1188,46875
1188,48765
1188,48909
1188,50894
1188,51587
1188,51783
1188,52259
1188,52780
1188,53345
1188,54649
1188,55439
1188,55519
1188,56465
1188,56467
1188,56469
1188,58824
1188,58879
1188,60181
1188,60314
1188,60585
1188,61136
1188,62405
1188,64912
1188,65551
1188,67534
1188,67902
1188,68615
1188,68646
1188,72220
1188,72400
1188,75434
1188,81535
1188,84860
1188,86618
1188,88706
1188,91435
1188,93213
1188,93225
1188,93235
1188,93241
1188,93354
1188,93362
1188,93410
1188,96446
1188,99651
1188,99757
1188,106899
1188,107438
1188,109754
1188,114015
1188,114554
1188,116394
1188,117250
1188,118809
1188,122427
1188,122476
1188,122773
1188,128196
1188,128385
1188,131352
1188,131354
1188,131359
1192,1199
1192,1371
1192,1820
1192,1990
1192,2175
1192,2201
1192,2288
1192,3364
1192,4554
1192,4625
1192,6093
1192,6724
1192,6964
1192,8834
1192,9580
1192,9985
1192,10119
1192,10345
1192,10650
1192,20612
1192,22293
1192,25918
1192,29205
1192,33988
1192,34833
1192,35414
1192,35945
1192,38101
1192,39109
1192,41420
1192,52780
1192,55439
1192,55519
1192,56465
1192,56467
1192,56469
1192,58879
1192,65551
1192,66461
1192,67287
1192,74197
1192,74375
1192,75656
1192,76414
1192,76468
1192,76476
1192,76982
1192,77862
1192,79467
1192,88803
1192,88955
1192,88964
1192,120415
1192,120743
1192,136205
1199,1990
1199,4554
1199,6093
1199,6724
1199,6964
1199,8834
1199,9580
1199,9985
1199,10119
1199,10650
1199,20612
1199,29205
1199,33988
1199,35414
1199,35945
1199,39109
1199,41420
1199,52780
1199,55439
1199,55519
1199,56465
1199,56467
1199,56469
1199,58879
1199,65551
1199,66461
1199,67287
1199,74197
1199,74375
1199,75656
1199,76414
